Aff,Neg,Judges,Votes,Result
Interlake GQ,Notre Dame KS,"Josh Lamet																																		Azja Butler																																		Evan Alexis","Aff																												Neg																												Neg","2-1																															NEG"
Interlake CP,Head Royce RK,"Catherine Haus																																		Mac Cronin																																		Maddie Pieropan","Aff																												Neg																												Neg","2-1																															NEG"
